age,count_male_riders
19,2258
20,6365
21,14098
22,28894
23,38642
24,47582
25,69021
26,118290
27,167886
28,195589
29,219826
30,236952
31,233403
32,236298
33,243544
34,219342
35,208146
36,163057
37,165528
38,150457
39,132050
40,127960
41,113950
42,103111
43,88046
44,79581
45,79230
46,81715
47,78958
48,79255
49,73741
50,73982
51,71379
52,87612
53,73732
54,74012
55,68589
56,69735
57,72088
58,58823
59,58231
60,64442
61,47770
62,50189
63,42736
64,35559
65,35413
66,27345
67,19766
68,23519
69,12372
70,10076
71,7683
72,9462
73,6234
74,5126
75,5905
76,4176
77,1760
78,2080
79,2443
80,1174
81,1766
