age,count_male_riders
19,7935
20,20479
21,48013
22,93364
23,121752
24,127538
25,168776
26,237798
27,384158
28,454597
29,517011
30,560440
31,578887
32,605028
33,600083
34,573782
35,507819
36,500309
37,484885
38,451150
39,424086
40,386350
41,372341
42,355505
43,339107
44,290238
45,276032
46,271984
47,263870
48,243756
49,238530
50,244616
51,250639
52,261194
53,234086
54,217185
55,217668
56,197130
57,194850
58,201236
59,184605
60,165789
61,148176
62,151035
63,124033
64,112513
65,97447
66,94947
67,78046
68,65978
69,66451
70,39527
71,40028
72,26331
73,22092
74,22145
75,18470
76,14499
77,10222
78,6196
79,6826
80,8489
81,5038
